Protocol,Source IP Address,Source Port,Destination IP Address,Destination Port,Captured Length
SSL,104.20.73.155,443,192.168.1.142,443,82
TCP,104.20.73.155,443,192.168.1.142,443,82
TCP,192.168.1.142,49269,104.20.73.155,49269,54
SSL,192.168.1.142,49269,104.20.73.155,49269,86
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49325,31.216.147.155,49325,91
TCP,31.216.147.155,443,192.168.1.142,443,60
SSL,31.216.147.134,443,192.168.1.142,443,413
TCP,31.216.147.134,443,192.168.1.142,443,413
TCP,192.168.1.142,49321,31.216.147.134,49321,54
SSL,192.168.1.142,49321,31.216.147.134,49321,557
TCP,31.216.147.134,443,192.168.1.142,443,60
SSL,192.168.1.142,49325,31.216.147.155,49325,90
TCP,31.216.147.155,443,192.168.1.142,443,60
SSL,31.216.147.155,443,192.168.1.142,443,86
TCP,31.216.147.155,443,192.168.1.142,443,86
TCP,192.168.1.142,49325,31.216.147.155,49325,54
TCP,192.168.1.142,49358,173.194.5.219,49358,54
SSL,104.20.73.155,443,192.168.1.142,443,78
TCP,104.20.73.155,443,192.168.1.142,443,78
TCP,192.168.1.142,49269,104.20.73.155,49269,54
SSL,192.168.1.142,49269,104.20.73.155,49269,82
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,104.20.74.155,443,192.168.1.142,443,78
TCP,104.20.74.155,443,192.168.1.142,443,78
TCP,192.168.1.142,49299,104.20.74.155,49299,54
SSL,192.168.1.142,49299,104.20.74.155,49299,82
TCP,104.20.74.155,443,192.168.1.142,443,60
SSL,104.20.74.155,443,192.168.1.142,443,82
TCP,104.20.74.155,443,192.168.1.142,443,82
TCP,192.168.1.142,49299,104.20.74.155,49299,54
SSL,192.168.1.142,49299,104.20.74.155,49299,86
TCP,104.20.74.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49269,104.20.73.155,49269,86
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,104.20.73.155,443,192.168.1.142,443,82
